sample_id	date_received	reference	variety	farm_code	os_location	clade							
3375	16/07/2012	69197	VIVALDI	745/0020	NH9229885413	D							
3414	17/07/2012	70522	MARIS PIPER	059/0008	NJ6571530222	D							
3567	19/07/2012	69307	VIVALDI	449/0077	NH7174348401	A							
3698	24/07/2012	71711	CHARLOTTE	082/0026	NJ8354844977	G							
3763	25/07/2012	70638	HERMES	606/0003	NH9321251806	H							
3775	25/07/2012	71085	SYLVANA	605/0038	NH9450850943	G							
3812	26/07/2012	76026	HERMES	083/0081	NJ7362953044	D							
4012	01/08/2012	72009	EPICURE	295/0025	NY2138166832	A							
4140	08/08/2012	71090	VALES SOVEREIGN	609/0023	NH8689354739	H							
4178	13/08/2012	70719	HERMES	762/0053	NH4898552454	A							
4374	04/07/2013	81714	ROYAL	080/0033	NJ8051737652	D							
4441	05/07/2013	79965	CABARET	083/0074	NJ7251045736	A							
4465	06/07/2013	80165	VR 808	053/0034	NJ8225737383	A							
4690	12/07/2013	80133	PICCOLO STAR	737/0083	NH5662849380	B							
4802	16/07/2013	83906	NECTAR	609/0023	NH8795854830	A							
4921	18/07/2013	82516	SHANNON	746/0020	NH7355564969	A							
4939	18/07/2013	83848	MARKIES	226/0061	NJ6107359439	A							
5163	26/07/2013	80749	MOZART	050/0034	NJ9578638531	A							
5211	29/07/2013	81101	ATLANTIC	051/0004	NJ9668423044	D							
5220	30/07/2013	85617	RED PONTIAC	028/0136	NK0458149222	D							
5297	09/08/2013	84103	BIANCHIDEA	030/0376	NJ8933441650	G							
5535	02/07/2014	90896	HERMES	080/0036	NJ8088236164	E							
5571	03/07/2014	93712	SHANNON	593/0066	NJ2571064700	A							
5676	04/07/2014	94825	04.Z.66 A 4	055/0158	NJ8184334718	A							
5692	04/07/2014	90830	CONSTANCE	061/0111	NJ6159930460	D							
5918	09/07/2014	90299	ESTIMA	747/0090	NH7110664672	A							
5946	10/07/2014	87928	RIVIERA	762/0012	NH5041253520	A							
5985	10/07/2014	90646	CHICAGO	070/0031	NJ6263626140	A							
6007	11/07/2014	95263	HERMES	081/0020	NJ7358055901	A							
6116	16/07/2014	88675	MARKIES	606/0004	NH9392552427	G							
6118	16/07/2014	87212	BRITISH QUEEN	745/0020	NH9310085399	A							
6128	16/07/2014	89701	CASINO 	451/0013	NH7993453159	A							
6133	17/07/2014	92264	MELODY	079/0129	NJ7228739473	A							
6141	17/07/2014	93333	ROOSTER	738/0041	NH6589454872	A							
6146	17/07/2014	90763	CHARLOTTE	071/0103	NJ7322431687	G							
6153	17/07/2014	92794	ORLA	736/0037	NH6917754199	A							
6269	21/07/2014	88844	VIOLETTA	119/0011	NO3563037011	D							
6272	21/07/2014	87435	PENTLAND DELL	083/0090	NJ7313352766	E							
6275	21/07/2014	87440	RED DUKE OF YORK	220/0031	NJ6629653778	A							
6314	21/07/2014	92858	HEROUD	228/0233	NJ4251562892	F							
6657	01/07/2015	101250	SLANEY	746/0008	NH7877466910	C							
6937	09/07/2015	97875	MARIS PIPER	055/0158	NJ8133734973	F							
7159	17/07/2015	102818	CARA	053/0184	NJ8912939452	G							
7164	17/07/2015	101568	BROOKE	051/0004	NJ9646022636	G							
7234	20/07/2015	103809	RAMOS	080/0338	NJ7049233362	D							
7327	22/07/2015	101268	FANDANGO	083/0154	NJ7414852659	D							
7365	23/07/2015	98979	ANNABELLE	748/0014	NH7397858942	A							
7370	23/07/2015	103026	COROLLE	031/0021	NJ9402440706	A							
7383	23/07/2015	103174	ESTIMA	079/0050	NJ7093742931	A							
7431	24/07/2015	98711	SYLVANA	451/0013	NH8023052669	A							
7439	27/07/2015	100122	SANTE	762/0009	NH5106854205	A							
7459	27/07/2015	101359	FONTANE	608/0028	NH8376551128	H							
7495	28/07/2015	102297	AMORA	061/0007	NJ6409729033	E							
7557	30/07/2015	102792	ELECTRA	737/0001	NH5921150616	A							
7559	30/07/2015	98713	JELLY	609/0023	NH8719554441	A							
7563	30/07/2015	102795	ROOSTER	738/0018	NH6241551862	D							
